,experiment,job,count,iteration
0,flux-cpu,mlsample,11,1
1,flux-cpu,createsim,10,1
2,flux-cpu,cganalysis,10,1
3,flux-cpu,mlsample,10,3
4,flux-cpu,createsim,10,3
5,flux-cpu,cganalysis,10,3
6,flux-cpu,mlsample,10,2
7,flux-cpu,createsim,10,2
8,flux-cpu,cganalysis,10,2
9,flux-gpu,mlsample,11,1
10,flux-gpu,createsim,10,1
11,flux-gpu,cganalysis,10,1
12,flux-gpu,mlsample,10,3
13,flux-gpu,createsim,10,3
14,flux-gpu,cganalysis,10,3
15,flux-gpu,mlsample,10,2
16,flux-gpu,createsim,10,2
17,flux-gpu,cganalysis,10,2
