,instance,simulation_ns,sample,spot,instance_name,hourly_cost,half_hour_cost,cost_per_simulation_ns
0,hpc7g-16xlarge,52.0,structure_032102085,on-demand,hpc7g-16xlarge,1.683,0.8415,0.016182692307692308
1,hpc7g-16xlarge,52.5,structure_030303311,on-demand,hpc7g-16xlarge,1.683,0.8415,0.01602857142857143
2,hpc7g-16xlarge,52.0,structure_055438499,on-demand,hpc7g-16xlarge,1.683,0.8415,0.016182692307692308
3,hpc7g-16xlarge,53.5,structure_042030664,on-demand,hpc7g-16xlarge,1.683,0.8415,0.015728971962616824
4,r7iz-8xlarge,14.0,structure_099352644,spot,r7iz-8xlarge-spot,0.7677,0.38385,0.027417857142857143
5,c7a-12xlarge,51.5,structure_067366513,spot,c7a-12xlarge-spot,0.6458,0.3229,0.0062699029126213595
6,p3-2xlarge,30.5,structure_084840146,spot,p3-2xlarge-spot,0.376,0.188,0.0061639344262295085
7,p3-2xlarge,19.5,structure_077236396,spot,p3-2xlarge-spot,0.376,0.188,0.009641025641025642
8,c7g-16xlarge,52.5,structure_080531946,spot,c7g-16xlarge-spot,0.5415,0.27075,0.005157142857142857
9,c6in-12xlarge,17.5,structure_064668606,spot,c6in-12xlarge-spot,0.8272,0.4136,0.023634285714285715
10,c6in-12xlarge,17.0,structure_037634390,spot,c6in-12xlarge-spot,0.8272,0.4136,0.024329411764705884
11,p3-2xlarge,19.5,structure_077031477,spot,p3-2xlarge-spot,0.376,0.188,0.009641025641025642
12,c7a-12xlarge,46.5,structure_042686490,spot,c7a-12xlarge-spot,0.6458,0.3229,0.006944086021505377
13,r7iz-8xlarge,14.0,structure_034117895,spot,r7iz-8xlarge-spot,0.7677,0.38385,0.027417857142857143
14,c7g-16xlarge,52.5,structure_027786779,spot,c7g-16xlarge-spot,0.5415,0.27075,0.005157142857142857
15,c7a-12xlarge,45.5,structure_062152093,spot,c7a-12xlarge-spot,0.6458,0.3229,0.0070967032967032976
16,m6a-16xlarge,17.0,structure_040099301,spot,m6a-16xlarge-spot,0.8596,0.4298,0.02528235294117647
17,c6in-12xlarge,22.0,structure_050113487,spot,c6in-12xlarge-spot,0.8272,0.4136,0.0188
18,c7g-16xlarge,53.5,structure_006217962,spot,c7g-16xlarge-spot,0.5415,0.27075,0.005060747663551401
19,p3-2xlarge,19.5,structure_040591829,on-demand,p3-2xlarge,3.06,1.53,0.07846153846153846
20,p3-2xlarge,20.0,structure_063157840,on-demand,p3-2xlarge,3.06,1.53,0.0765
21,hpc6a-48xlarge,24.0,structure_014136731,on-demand,hpc6a-48xlarge,2.88,1.44,0.06
22,m6g-16xlarge,40.0,structure_080296043,on-demand,m6g-16xlarge,2.464,1.232,0.0308
23,c7g-16xlarge,52.0,structure_080296043,on-demand,c7g-16xlarge,2.32,1.16,0.022307692307692306
24,c6in-12xlarge,17.0,structure_080296043,on-demand,c6in-12xlarge,2.722,1.361,0.08005882352941177
25,c7a-12xlarge,52.0,structure_080296043,on-demand,c7a-12xlarge,2.463,1.2315,0.023682692307692307
26,r7iz-8xlarge,14.5,structure_080296043,on-demand,r7iz-8xlarge,2.976,1.488,0.10262068965517242
27,m6a-16xlarge,4.5,structure_080296043,on-demand,m6a-16xlarge,2.765,1.3825,0.30722222222222223
28,p3-2xlarge,31.0,structure_024332431,on-demand,p3-2xlarge,3.06,1.53,0.04935483870967742
29,m6g-16xlarge,40.5,structure_018976077,on-demand,m6g-16xlarge,2.464,1.232,0.030419753086419754
30,c7g-16xlarge,53.5,structure_018976077,on-demand,c7g-16xlarge,2.32,1.16,0.021682242990654205
31,c6in-12xlarge,17.5,structure_018976077,on-demand,c6in-12xlarge,2.722,1.361,0.07777142857142857
32,c7a-12xlarge,50.5,structure_018976077,on-demand,c7a-12xlarge,2.463,1.2315,0.024386138613861387
33,r7iz-8xlarge,14.5,structure_018976077,on-demand,r7iz-8xlarge,2.976,1.488,0.10262068965517242
34,m6a-16xlarge,4.5,structure_018976077,on-demand,m6a-16xlarge,2.765,1.3825,0.30722222222222223
35,hpc6a-48xlarge,24.0,structure_021755152,on-demand,hpc6a-48xlarge,2.88,1.44,0.06
36,m6g-16xlarge,40.0,structure_011469773,on-demand,m6g-16xlarge,2.464,1.232,0.0308
37,c7g-16xlarge,53.5,structure_011469773,on-demand,c7g-16xlarge,2.32,1.16,0.021682242990654205
38,c6in-12xlarge,22.0,structure_011469773,on-demand,c6in-12xlarge,2.722,1.361,0.061863636363636364
39,c7a-12xlarge,50.0,structure_011469773,on-demand,c7a-12xlarge,2.463,1.2315,0.02463
40,r7iz-8xlarge,18.0,structure_011469773,on-demand,r7iz-8xlarge,2.976,1.488,0.08266666666666667
41,m6a-16xlarge,18.0,structure_011469773,on-demand,m6a-16xlarge,2.765,1.3825,0.07680555555555556
42,hpc6a-48xlarge,23.5,structure_090721860,on-demand,hpc6a-48xlarge,2.88,1.44,0.06127659574468085
43,p3-2xlarge,32.5,structure_002428053,on-demand,p3-2xlarge,3.06,1.53,0.04707692307692308
